Ref,Val,Package,PosX,PosY,Rot,Side
"C301","0.1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",67.000000,-116.000000,180.000000,bottom
"C302","0.1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",236.500000,-126.000000,180.000000,bottom
"C304","1000p","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",67.000000,-59.000000,270.000000,bottom
"C305","0.1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",236.500000,-129.500000,180.000000,bottom
"C309","0.1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",241.000000,-136.000000,270.000000,bottom
"C310","0.1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",234.000000,-136.000000,270.000000,bottom
"C402","0.1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",214.500000,-121.000000,270.000000,bottom
"C701","430p","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",59.000000,-115.000000,180.000000,bottom
"C702","430p","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",64.000000,-126.000000,-0.000000,bottom
"C703","15p","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",59.000000,-119.000000,180.000000,bottom
"C704","15p","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",64.000000,-123.000000,-0.000000,bottom
"C705","120p","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",53.000000,-103.000000,180.000000,bottom
"C706","150p","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",53.000000,-112.000000,180.000000,bottom
"C707","10p","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",53.000000,-108.000000,180.000000,bottom
"C708","10p","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",57.000000,-133.000000,180.000000,bottom
"C709","150P","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",57.000000,-136.000000,180.000000,bottom
"C710","120p","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",63.000000,-141.000000,180.000000,bottom
